Competition,Bib Number,City,Date,Month,Overall,PB,Pace,Place Overall,Protocol,Registered,Result,Sneakers,"Split, м",Trail,Type,Year
Гатчинский полумарафон,533,Гатчина,"November 10, 2024",Ноябрь,2388,No,4:12,578,,Yes,01:28:36,,21098,No,Бег,2024
Grom Relay Осень (эстафета),238,Москва,"October 19, 2024",Октябрь,222,Yes,3:49,39,https://my.raceresult.com/312757/results,Yes,00:16:02 (00:15:32) (01:26:55),,4200,No,Бег,2024
Mad Fox Ultra Obsession,4191,Переславль-Залесский,"December 15, 2024",Декабрь,939,No,,225,,Yes,05:07:08,,40000,Yes,Бег,2024
Апрель,875,Москва,"April 6, 2025",Апрель,5427,No,3:46,277,,Yes,00:18:51,Nike ZoomX Vaporfly Next% 3,5000,No,Бег,2025
Teriberka Ultra Grand Escape,,Териберка,"May 25, 2025",Май,,No,,,,Yes,03:31:15,Nike Pegasus Trail 4 GRT,15000,Yes,Бег,2025
Crazy Oil 50,,Изборск,"June 14, 2025",Июнь,,Yes,,,,Yes,03:03:49,Salomon SpeedCross 5,50000,Yes,Бег,2025
Белые ночи,,Санкт-Петербург,"July 5, 2025",Июль,,Yes,4:16,,,Yes,03:00:17,Nike ZoomX Vaporfly Next% 3,42195,No,Бег,2025
Московский марафон,,Москва,"September 21, 2025",Сентябрь,,No,4:19,,,Yes,03:02:13,Nike ZoomX Vaporfly Next% 3,42195,No,Бег,2025
Kildin Ultra Grand Escape,,Кильдин,"May 24, 2025",Май,,No,,,,Yes,08:07:00,Salomon SpeedCross 5,55000,Yes,Бег,2025
Московский полумарафон,520,Москва,"April 27, 2025",Апрель,16095,Yes,4:05,895,,Yes,01:26:11,Nike ZoomX Vaporfly Next% 3,21098,No,Бег,2025
Казанский марафон,2197,Казань,"May 4, 2025",Май,,Yes,4:17,346,,Yes,03:00:29,Nike ZoomX Vaporfly Next% 3,42195,No,Бег,2025
Зеленый марафон,1201,Москва,"May 31, 2025",Июнь,,Yes,3:40,13,,Yes,00:15:25,Nike ZoomX Vaporfly Next% 3,4200,No,Бег,2025
Golden Ring Ultra Trail,,Суздаль,"July 27, 2025",Июль,,No,6:07,,,Yes,05:26:16,Salomon SpeedCross 5,55000,Yes,Бег,2025
Скорость (шведская эстафета),90,Москва,"November 24, 2024",Ноябрь,63,No,,15,,Yes,0:05:32.71,,800,No,Бег,2024
Grom10k IzMyLove,1030,Москва,"July 8, 2018",Июль,846,Yes,4:50,274,,Yes,00:48.23,,10000,No,Бег,2018
#бегуирадуюсь,,Москва,"September 2, 2018",Сентябрь,,Yes,4:45,,,Yes,00:47.27,,10000,No,Бег,2018
Соревнования по легкой атлетике ТЭК,64,Москва,"September 22, 2024",Сентябрь,12,No,,6,,Yes,0:10:49,,3000,No,Бег,2024
Соревнования по легкой атлетике ТЭК (эстафета),2,Москва,"September 22, 2024",Сентябрь,7,No,,4,,Yes,0:01:54,,200,No,Бег,2024
Vottovaara Mountain Race,3507,Гимольская,"September 8, 2024",Сентябрь,384,No,,38,,Yes,05:25:44,,55000,Yes,Бег,2024
Часовой бег в день физкультурника,12,Северобайкальск,"August 10, 2024",Август,,No,,2,,Yes,12747,,13700,No,Бег,2024
Битва беговых клубов (шведская эстафета),212,Москва,"July 27, 2024",Июль,55,No,,13,,Yes,12:10 (2:25),,800,No,Бег,2024
Чемпионат ЦА по легкой атлетике,97,Москва,"July 24, 2024",Июль,,No,,,,Yes,0:10:52,,3000,No,Бег,2024
Golden Ring Ultra Trail,5903,Суздаль,"July 21, 2024",Июль,984,No,,238,,Yes,05:49:20,,50000,Yes,Бег,2024
Марафон Белые ночи,273,Санкт-Петербург,"June 29, 2024",Июнь,5598,No,4:39,680,,Yes,03:16:03,,42195,No,Бег,2024
Crazy Owl 50,2444,Воронеж,"June 16, 2024",Июнь,940,No,,118,,Yes,03:12:25,,20000,Yes,Бег,2024
Зеленый марафон,10660,Москва,"June 1, 2024",Июнь,,No,4:27,34,,Yes,01:33:45,,21098,No,Бег,2024
Казанский марафон,8925,Казань,"May 12, 2024",Май,4326,No,4:24,446,,Yes,01:32:40,,21098,No,Бег,2024
Московский полумарафон,615,Москва,"April 29, 2024",Апрель,12819,No,4:36,1935,,Yes,01:36:55,,21098,No,Бег,2024
Апрель,339,Москва,"April 7, 2024",Апрель,6069,Yes,3:41,312,,Yes,00:18:25,,5000,No,Бег,2024
Grom Ski 50K Meshersky (эстафета),73,Москва,"March 3, 2024",Март,140,No,,92,,Yes,0:02:59.56 (?),,12500,No,Лыжи,2024
Скорость (шведская эстафета),125,Москва,"February 18, 2024",Февраль,61,No,,20,,Yes,0:05:35.05 (?),,600,No,Бег,2024
